distillery,region,lat,long,releases,median_price,avg_points
Aberfeldy,Highland,56.588236,-4.001415,13,129,87.15384615384616
Aberlour,Speyside,57.467338000000005,-3.230082,11,90,87.72727272727273
Abhainn Dearg,Island,58.170573000000005,-7.044877,1,239,81
Ailsa Bay,Lowland,55.260706000000006,-4.83338,1,79,91
Allt-A-Bhainne,Speyside,57.394225,-3.206225,2,86.5,84.5
AnCnoc,Speyside,57.562842,-2.760203,10,87,89.1
Ardbeg,Islay,55.640852,-6.1081129999999995,39,119,90.23076923076923
Ardmore,Highland,57.351592,-2.7454449999999997,10,97.5,87.4
Arran,Island,55.699477,-5.280175,37,80,85.70270270270271
Auchentoshan,Lowland,55.92257800000001,-4.438004,42,96,85.11904761904762
Auchroisk,Speyside,57.54676,-3.1166899999999997,7,120,86.28571428571429
Aultmore,Speyside,57.567549,-3.002115,9,85,85.55555555555556
Balblair,Highland,57.839926,-4.181177,25,83,86.72
Balmenach,Speyside,57.325423,-3.5321089999999997,4,152.5,89
Balvenie,Speyside,57.458357,-3.1272110000000004,49,369,88.73469387755102
Banff,Speyside,57.667246999999996,-2.5594279999999996,2,187.5,81
Ben Nevis,Highland,56.83555200000001,-5.072486,11,115,86.72727272727273
BenRiach,Speyside,57.6119,-3.2929,44,94,86.70454545454545
Benrinnes,Speyside,57.44186299999999,-3.2368629999999996,8,101,84.625
Benromach,Speyside,57.613245,-3.620489,25,80,86.2
Bladnoch,Lowland,54.858216999999996,-4.460383,13,100,86.3076923076923
Blair Athol,Highland,56.697833,-3.7215330000000004,10,127,85.6
Bowmore,Islay,55.757373,-6.286107,62,122,88.04838709677419
Brora,Highland,58.024908,-3.868132,15,455,92.66666666666667
Bruichladdich,Islay,55.764790000000005,-6.36182,70,110.5,86.78571428571429
Bunnahabhain,Islay,55.883064999999995,-6.125705999999999,43,135,86.18604651162791
Caol Ila,Islay,55.854299999999995,-6.1093020000000005,58,100.5,86.15517241379311
Caperdonich,Speyside,57.530598000000005,-3.2070030000000003,2,157.5,85.5
Cardhu,Speyside,57.470611,-3.3500669999999997,9,101,85.77777777777777
Clynelish,Highland,58.024309,-3.869231,29,105,86.75862068965517
Cragganmore,Speyside,57.410278,-3.3948889999999996,16,130,88.4375
Craigellachie,Speyside,57.488438,-3.1845190000000003,11,123,87.27272727272727
Daftmill,Lowland,56.295446000000005,-3.100614,2,263,90.5
Dailuaine,Speyside,57.452526999999996,-3.272691,7,140,86.57142857142857
Dallas Dhu,Speyside,57.58949,-3.61441,2,175,82.5
Dalmore,Highland,57.688611,-4.238889,47,236,88.80851063829788
Dalwhinnie,Speyside,56.940128,-4.238062000000001,11,85,86.81818181818181
Deanston,Highland,56.189443999999995,-4.071111,9,133,84.55555555555556
Dornoch,Highland,57.879526,-4.0303960000000005,1,92,84
Dufftown,Speyside,57.43575500000001,-3.12774,6,111.5,83.83333333333333
Edradour,Highland,56.701605,-3.7010140000000002,19,80,84.05263157894737
Fettercairn,Highland,56.85343699999999,-2.5818559999999997,8,59,85.375
Girvan,Lowland,55.260853000000004,-4.833600000000001,1,180,86
Glasgow,Lowland,55.86325,-4.363288,2,42.5,90.5
Glen Elgin,Speyside,57.599485,-3.2771440000000003,6,150,87.33333333333333
Glen Garioch,Highland,57.338519000000005,-2.3193579999999994,27,115,87.18518518518519
Glen Grant,Speyside,57.530413,-3.210792,29,150,86.48275862068965
